,Ef,rho,of,gtf,ea_mean,spec_heat_mean,heat_fus_mean,vdw_mean,atom_rad_mean,av_ionrad_mean,av_rsp_mean,x_mean,Ehull,Eg
1097,-3.3939999999999997,8.224,0.7091269840000001,0.902968957,0.98778976,0.6164,0.06774195200000001,1.9480000000000002,1.11,1.2327,0.7369,2.52,0.005,0.0
1098,-3.458,7.343999999999999,0.721825397,0.8963095870000001,0.96348976,0.6544,0.049819152,1.9369999999999998,1.105,1.2359,0.7264,2.524,0.016,0.41600000000000004
1099,-2.92,7.49,0.732936508,0.890562697,0.89339976,0.6412,0.038060552000000004,1.83,1.1,1.2387,0.6914,2.535,0.0,0.47600000000000003
1100,-2.414,7.5360000000000005,0.5761904760000001,0.9791257040000001,1.03618976,0.6506,0.069963152,1.859,1.06,1.1992,0.7227,2.623,0.052000000000000005,0.0
1101,-2.79,7.228,0.654761905,0.932634843,1.08076976,0.6622,0.061467952,1.8880000000000001,1.085,1.219,0.7486,2.5980000000000003,0.0,0.0
1102,-3.486,5.835,0.6765873020000001,0.920494035,1.01371976,0.6756,0.062296752000000004,1.915,1.095,1.2245,0.7552,2.5380000000000003,0.0,2.568
1103,-2.89,7.1579999999999995,0.618253968,0.9536751590000001,1.03438976,0.6621,0.066647952,1.9,1.08,1.2098,0.7497,2.5980000000000003,0.0,0.0
1104,-3.0610000000000004,7.117000000000001,0.633730159,0.944641073,0.93938976,0.6628,0.068719952,1.9069999999999998,1.085,1.2137,0.7512,2.568,0.0,0.0
1105,-0.792,4.249,0.680555556,0.918320495,1.02898976,0.6698,0.054941152,1.865,1.095,1.2255,0.70545,2.583,2.1959999999999997,0.0
1106,-3.603,6.893,0.6765873020000001,0.920494035,0.95658976,0.6631,0.071827952,1.916,1.095,1.2245,0.7567,2.528,0.0,3.017
1107,-3.685,6.894,0.742460317,0.8856951259999999,1.16620006,0.6745,0.034252232,1.814,1.065,1.2411,0.6544,2.638,0.0,0.9009999999999999
1108,-3.06,6.412000000000001,0.795238095,0.859656785,0.99698976,0.6371,0.064057952,1.98,1.12,1.2544,0.7667,2.575,0.0,0.924
1109,-3.406,6.28,0.8130952379999999,0.851190041,1.01151976,0.6385,0.054526752000000005,1.9909999999999999,1.12,1.2589,0.7687,2.519,0.0,2.8569999999999998
1110,-2.8339999999999996,7.539,0.754761905,0.8794860459999999,1.03218976,0.625,0.058877952000000004,1.976,1.105,1.2442,0.7632,2.5789999999999997,0.0,0.079
1111,-2.99,7.459,0.770238095,0.871797197,0.93718976,0.6257,0.060949952,1.983,1.11,1.2481,0.7647,2.549,0.003,0.0
1112,-3.05,6.6579999999999995,0.8170634920000001,0.849331141,1.02678976,0.6327,0.047171152,1.9409999999999998,1.12,1.2599,0.71895,2.5639999999999996,0.0,3.605
1113,-3.605,7.119,0.742460317,0.8856951259999999,1.16620006,0.6745,0.034252232,1.814,1.065,1.2411,0.6544,2.638,0.0,0.9079999999999999
1114,-2.4659999999999997,6.622000000000001,0.8273809520000001,0.8445357859999999,1.06676976,0.6355,0.053179952,1.926,1.125,1.2625,0.7716,2.557,0.0,0.0
1115,-2.74,5.905,1.036904762,0.757663607,1.10746976,0.6425,0.044373952,1.903,1.13,1.3153,0.7237,2.5469999999999997,0.0,3.13
1116,-3.5189999999999997,6.4479999999999995,0.742460317,0.8856951259999999,1.16620006,0.6745,0.034252232,1.814,1.065,1.2411,0.6544,2.638,0.0,2.244
